scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
pessimistic,161,2066296.3698734506,4800000.0,704967.0137465748,-3438670.6438731244,0.085,915.0,1000.0,summary,,,,,,,,,,,,,
pessimistic,161,79006.76153094525,,,28669.904322734918,,,,monthly,1.0,1.0,1.0,79006.76153094525,0.0,33333.333333333336,17003.523874877,1000.0,0.0,60228.038692119044,0.0,1606081.0317898414,60228.038692119044
pessimistic,161,124973.98878438966,,,43957.47998497113,,,,monthly,2.0,1.0,2.0,72534.81326974955,52439.17551464011,33333.333333333336,47683.17546608519,997.0,3.0,98371.60372995808,52439.17551464011,2623242.7661322155,105602.30172497107
pessimistic,161,148189.64634385367,,,33959.37447381008,,,,monthly,3.0,1.0,3.0,66818.88039784414,81370.76594600953,33333.333333333336,80896.93853671025,991.0,9.0,114634.71867413807,81370.76594600955,3056925.8313103486,137895.67850639843
pessimistic,161,166368.772238317,,,107062.08597669023,,,,monthly,4.0,1.0,4.0,69628.35249098953,96740.41974732748,33333.333333333336,25973.352928293436,980.0,20.0,127531.52744848511,96740.41974732754,3400840.731959603,168543.58338995161
pessimistic,161,176793.12515211175,,,-460.35335851911805,,,,monthly,5.0,1.0,5.0,67632.42955553558,109160.69559657616,33333.333333333336,143920.14517729753,975.0,25.0,129737.60253701739,109160.69559657617,3459669.40098713,185133.4639354036
pessimistic,161,184576.25293689047,,,96458.61570918343,,,,monthly,6.0,1.0,6.0,66745.4165874002,117830.83634949027,33333.333333333336,54784.30389437369,960.0,40.0,135137.47588875837,117830.83634949029,3603666.023700224,201543.90194556038
pessimistic,161,207404.33851048906,,,131157.92379940418,,,,monthly,7.0,1.0,7.0,71130.77487557277,136273.5636349163,33333.333333333336,42913.081377751536,953.0,47.0,137294.24552352977,136273.56363491627,3661179.8806274603,201539.94419019888
pessimistic,161,192206.02280962994,,,126430.97775688916,,,,monthly,8.0,1.0,8.0,65004.26604719572,127201.75676243422,33333.333333333336,32441.71171940744,949.0,51.0,136552.73439957763,127201.75676243412,3641406.2506554034,209873.31726101972
pessimistic,161,184160.02604290785,,,82578.97296019254,,,,monthly,9.0,1.0,9.0,63889.79589495274,120270.23014795512,33333.333333333336,68247.71974938197,946.0,54.0,139906.27921824783,120270.23014795515,3730834.112486609,227685.9431146665
pessimistic,161,194186.77059189396,,,122628.33598215504,,,,monthly,10.0,1.0,10.0,62688.64306650345,131498.1275253905,33333.333333333336,38225.10127640558,939.0,61.0,140644.86455919885,131498.1275253905,3750529.7215786357,236356.99288606094
pessimistic,161,206527.33782873556,,,97403.5289201182,,,,monthly,11.0,1.0,11.0,62086.415066587884,144440.92276214767,33333.333333333336,75790.47557528401,933.0,67.0,135872.70189414715,144440.92276214765,3623272.050510591,225620.08611974635
pessimistic,161,201903.3271032864,,,91482.50959924601,,,,monthly,12.0,1.0,12.0,68269.5006256016,133633.82647768478,33333.333333333336,77087.48417070704,922.0,78.0,138015.36135434717,133633.82647768475,3680409.636115925,227471.73889644732
pessimistic,162,2009341.3518124286,4800000.0,606909.4304193938,-3397568.078606965,0.074,926.0,1000.0,summary,,,,,,,,,,,,,
pessimistic,162,79127.1911378143,,,-7841.649043503305,,,,monthly,1.0,1.0,1.0,79127.1911378143,0.0,33333.333333333336,53635.50684798427,1000.0,0.0,58368.72242911739,0.0,1556499.2647764639,58368.72242911739
pessimistic,162,120588.6573409037,,,10441.584393504701,,,,monthly,2.0,1.0,2.0,71203.75320748746,49384.90413341623,33333.333333333336,76813.73961406566,993.0,7.0,87735.19196859472,49384.90413341626,2339605.119162526,95456.31452981672
pessimistic,162,142949.27840886245,,,96115.9450755291,,,,monthly,3.0,1.0,3.0,66511.2583360068,76438.02007285565,33333.333333333336,13500.0,983.0,17.0,102523.68921615375,76438.02007285567,2733965.0457641003,121541.98367311481
pessimistic,162,160812.84060541095,,,91270.72748075417,,,,monthly,4.0,1.0,4.0,71538.66904065946,89274.1715647515,33333.333333333336,36208.779791323446,980.0,20.0,119144.26236313982,89274.17156475154,3177180.3296837285,150008.55658921506
pessimistic,162,172432.76712558465,,,129099.43379225131,,,,monthly,5.0,1.0,5.0,68449.76605503024,103983.0010705544,33333.333333333336,10000.0,977.0,23.0,127237.9820499559,103983.00107055438,3393012.854665491,173263.5375686166
pessimistic,162,182974.60153458576,,,52270.771321944645,,,,monthly,6.0,1.0,6.0,67240.81743356443,115733.78410102132,33333.333333333336,97370.49687930777,975.0,25.0,126065.82382278392,115733.7841010213,3361755.3019409045,180511.45046089505
pessimistic,162,190592.157144757,,,87378.58267214386,,,,monthly,7.0,1.0,7.0,74541.76819728938,116050.38894746763,33333.333333333336,69880.24113927978,967.0,33.0,135491.7891570163,116050.38894746771,3613114.3775204346,198087.86548880753
pessimistic,162,186043.22969856876,,,127709.89636523541,,,,monthly,8.0,1.0,8.0,65844.55937428003,120198.67032428875,33333.333333333336,25000.0,959.0,41.0,137584.89727462415,120198.67032428879,3668930.5939899776,215474.09243914287
pessimistic,162,201150.8965328304,,,111514.82353833545,,,,monthly,9.0,1.0,9.0,63919.73615191848,137231.16038091193,33333.333333333336,56302.73966116162,954.0,46.0,131281.97914500863,137231.1603809119,3500852.777200231,208135.33502413947
pessimistic,162,194587.6412547898,,,100449.07920626752,,,,monthly,10.0,1.0,10.0,64353.40074747078,130234.24050731902,33333.333333333336,60805.22871518895,948.0,52.0,123786.1813262053,130234.240507319,3300964.8353654747,199251.14414628956
pessimistic,162,192661.94245451665,,,102131.06116816282,,,,monthly,11.0,1.0,11.0,64951.22752504333,127710.71492947334,33333.333333333336,57197.54795302049,942.0,58.0,124890.19363583274,127710.71492947338,3330405.163622206,196350.9268262568
pessimistic,162,185420.14857380415,,,101891.66542240893,,,,monthly,12.0,1.0,12.0,69556.23317851716,115863.915395287,33333.333333333336,50195.14981806187,932.0,68.0,128101.5294802826,115863.91539528705,3416040.7861408694,206421.27968898555
pessimistic,163,1948837.191954818,4800000.0,539128.3318977086,-3390291.1399428905,0.079,921.0,1000.0,summary,,,,,,,,,,,,,
pessimistic,163,77171.76073772824,,,16838.427404394904,,,,monthly,1.0,1.0,1.0,77171.76073772824,0.0,33333.333333333336,27000.0,1000.0,0.0,51530.76875454581,0.0,1374153.833454555,51530.76875454581
pessimistic,163,116654.15410122444,,,54791.064483459224,,,,monthly,2.0,1.0,2.0,71885.24645081979,44768.907650404646,33333.333333333336,28529.75628443187,994.0,6.0,84248.03031407479,44768.90765040464,2246614.141708661,91001.7000304961
pessimistic,163,136786.7388587973,,,76453.40552546395,,,,monthly,3.0,1.0,3.0,66957.61278498938,69829.12607380791,33333.333333333336,27000.0,988.0,12.0,103300.01562718334,69829.12607380794,2754667.083391556,124472.58958387151
